App	8-OoO	1-IO	Tag-Team	Raven-G		 
libquantum	0.5469	0.5997	0.8605	0.894
namd	0.7516	0.6274	0.864	1.0089
soplex	0.6514	0.8243	0.8682	1.0705
povray	0.815	0.5435	0.865	0.9685
gcc	0.7594	0.8548	0.9079	1.0771	
lbm     0.5267	2.3064  1.8718  2.0221
hmmer	0.6188	0.5231	0.8877	1.0706
zeusmp	0.6339	0.738	0.862	0.9282	
sjeng   0.6697 	0.6734	0.862	1.0842
string	0.6535	0.6903	0.8605	1.0801	 
fft	0.7408	0.6069	0.8632	1.0700	
adpcm	0.5153	0.6486	0.8605	1.1022	 
bitcount	0.5314	0.5507	0.8605	1.0853
gsm	0.515	0.6379	0.8605	1.0425
swaptions	 0.7384	0.5416  0.9015   1.055	
geomean	0.6535	0.7353	0.9259	1.0917


